"","X","Q","Other","Self","Percentile","Subject"
"402","X2.25",2,0.3,0.35,0.2,26
"403","X3.25",3,0.25,0.25,0.2,26
"404","X4.25",4,0.45,0.6,0.2,26
"405","X5.25",5,0.85,0.9,0.2,26
"406","X6.25",6,0.35,0.5,0.2,26
"407","X7.25",7,0.25,0.25,0.2,26
"408","X8.25",8,0.7,1,0.2,26
"409","X9.25",9,0.1,0.25,0.2,26
"410","X10.25",10,0.15,0.5,0.2,26
"411","X11.25",11,0.05,0.8,0.2,26
"412","X12.25",12,0.15,0.8,0.2,26
"413","X13.25",13,0.8,0.9,0.2,26
"414","X14.25",14,0.85,1,0.2,26
"415","X15.25",15,0.9,0.5,0.2,26
"416","X16.25",16,0.9,0.6,0.2,26
"417","X1.26",1,0.8,1,0.9,27
"418","X2.26",2,1,1,0.9,27
"419","X3.26",3,0.8,1,0.9,27
"420","X4.26",4,0.25,0.5,0.9,27
"421","X5.26",5,1,1,0.9,27
"422","X6.26",6,0.25,0.25,0.9,27
"423","X7.26",7,0.25,0.25,0.9,27
"424","X8.26",8,0.25,0.25,0.9,27
"425","X9.26",9,0.3,0.3,0.9,27
"426","X10.26",10,0.5,0.5,0.9,27
"427","X11.26",11,0.5,0.5,0.9,27
"428","X12.26",12,0.5,0.5,0.9,27
"429","X13.26",13,0.5,0.5,0.9,27
"430","X14.26",14,0.25,0.25,0.9,27
"431","X15.26",15,1,1,0.9,27
"432","X16.26",16,1,1,0.9,27
"433","X1.27",1,0.5,0.5,0.5,28
"434","X2.27",2,0.5,0.5,0.5,28
"435","X3.27",3,1,1,0.5,28
"436","X4.27",4,0.25,0.25,0.5,28
"437","X5.27",5,0.25,0.25,0.5,28
"438","X6.27",6,0.25,0.25,0.5,28
"439","X7.27",7,0.25,0.25,0.5,28
"440","X8.27",8,0.5,1,0.5,28
"441","X9.27",9,0.5,0.5,0.5,28
"442","X10.27",10,0.34,0.34,0.5,28
"443","X11.27",11,0.25,0.25,0.5,28
"444","X12.27",12,1,1,0.5,28
"445","X13.27",13,0,0,0.5,28
"446","X14.27",14,1,1,0.5,28
"447","X15.27",15,0.5,0.33,0.5,28
"448","X16.27",16,0.34,0.34,0.5,28
"449","X1.28",1,0.7,1,0.95,29
"450","X2.28",2,0.6,1,0.95,29
"451","X3.28",3,0.25,0.5,0.95,29
"452","X4.28",4,0.25,1,0.95,29
"453","X5.28",5,0.25,0.5,0.95,29
"454","X6.28",6,0.25,0.25,0.95,29
"455","X7.28",7,0.75,1,0.95,29
"456","X8.28",8,0.34,0.34,0.95,29
"457","X9.28",9,0.5,1,0.95,29
"458","X10.28",10,0.6,1,0.95,29
"459","X11.28",11,0.5,0.5,0.95,29
"460","X12.28",12,0.5,0.5,0.95,29
"461","X13.28",13,0.25,1,0.95,29
"462","X14.28",14,1,1,0.95,29
"463","X15.28",15,0.5,1,0.95,29
"464","X16.28",16,0.25,0.5,0.95,29
"465","X1.29",1,0.4,0.7,0.95,30
"466","X2.29",2,0.8,1,0.95,30
"467","X3.29",3,0.8,1,0.95,30
"468","X4.29",4,0.7,0.9,0.95,30
"469","X5.29",5,0.6,0.9,0.95,30
"470","X6.29",6,0.6,0.8,0.95,30
"471","X7.29",7,0.25,0.4,0.95,30
"472","X8.29",8,0.8,1,0.95,30
"473","X9.29",9,0.3,0.5,0.95,30
"474","X10.29",10,0.25,0.7,0.95,30
"475","X11.29",11,0.25,0.9,0.95,30
"476","X12.29",12,0.25,0.4,0.95,30
"477","X13.29",13,0.91,1,0.95,30
"478","X14.29",14,0.9,1,0.95,30
"479","X15.29",15,0.9,1,0.95,30
"480","X16.29",16,0.4,0.4,0.95,30
"481","X1.30",1,0.75,0.75,0.6,31
"482","X2.30",2,0.25,0.25,0.6,31
"483","X3.30",3,0.48,0.88,0.6,31
"484","X4.30",4,0.25,0.25,0.6,31
"485","X5.30",5,0.4,0.6,0.6,31
"486","X6.30",6,0.25,0.25,0.6,31
"487","X7.30",7,0.25,0.5,0.6,31
"488","X8.30",8,0.4,1,0.6,31
"489","X9.30",9,0.7,0.25,0.6,31
"490","X10.30",10,0.25,0.5,0.6,31
"491","X11.30",11,0.25,0.25,0.6,31
"492","X12.30",12,0.25,0.55,0.6,31
"493","X13.30",13,0.8,1,0.6,31
"494","X14.30",14,0.8,1,0.6,31
"495","X15.30",15,0.85,0.85,0.6,31
"496","X16.30",16,0.5,0.25,0.6,31
"497","X1.31",1,0.25,0.25,0.1,32
"498","X2.31",2,0.25,0.25,0.1,32
"499","X3.31",3,0.25,0.25,0.1,32
"500","X4.31",4,0.25,0.25,0.1,32
"501","X5.31",5,0.25,0.25,0.1,32
"502","X6.31",6,0.25,0.25,0.1,32
"503","X7.31",7,0.25,0.25,0.1,32
"504","X8.31",8,0.25,0.25,0.1,32
"505","X9.31",9,0.25,0.25,0.1,32
"506","X10.31",10,0.25,0.25,0.1,32
"507","X11.31",11,0.25,0.25,0.1,32
"508","X12.31",12,0.5,0.25,0.1,32
"509","X13.31",13,0,0,0.1,32
"510","X14.31",14,0.5,0.5,0.1,32
"511","X15.31",15,0.5,0.5,0.1,32
"512","X16.31",16,0,0,0.1,32
"513","X1.32",1,0.6,0.75,0.9,33
"514","X2.32",2,0.9,0.95,0.9,33
"515","X3.32",3,0.9,0.9,0.9,33
"516","X4.32",4,0.6,0.7,0.9,33
"517","X5.32",5,0.4,0.5,0.9,33
"518","X6.32",6,0.3,0.4,0.9,33
"519","X7.32",7,0.8,0.9,0.9,33
"520","X8.32",8,0.4,0.8,0.9,33
"521","X9.32",9,0.5,0.8,0.9,33
"522","X10.32",10,0.4,0.5,0.9,33
"523","X11.32",11,0.3,0.9,0.9,33
"524","X12.32",12,0.5,0.9,0.9,33
"525","X13.32",13,0.8,0.9,0.9,33
"526","X14.32",14,0.8,1,0.9,33
"527","X15.32",15,0.8,0.9,0.9,33
"528","X16.32",16,0.4,0.7,0.9,33
"529","X1.33",1,0.4,0.4,0.95,34
"530","X2.33",2,0.4,0.55,0.95,34
"531","X3.33",3,0.3,0.5,0.95,34
"532","X4.33",4,0.3,0.7,0.95,34
"533","X5.33",5,0.5,0.75,0.95,34
"534","X6.33",6,0.7,0.7,0.95,34
"535","X7.33",7,0.4,0.7,0.95,34
"536","X8.33",8,0.25,0.5,0.95,34
"537","X9.33",9,0.3,0.4,0.95,34
"538","X10.33",10,0.3,0.4,0.95,34
"539","X11.33",11,0.3,0.6,0.95,34
"540","X12.33",12,0.6,0.6,0.95,34
"541","X13.33",13,0.2,0,0.95,34
"542","X14.33",14,0.7,1,0.95,34
